account_id,days_since_event,verified_account,fear_score,anger_score,toxicity_score,identity_attack_score,reblogs_count
1603,34.88159223,0,0,0,0.23162876,0.19693321,0
1580,34.81798799,0,3,1,0.5716857,0.5698139,0
1572,34.81391115,0,0,0,0.37751234,0.40713623,0
397,34.56127271,0,0,0,0.1537979,0.11976352,0
298,34.54372132,1,0,0,0.30993456,0.3958119,90
1347,34.45155731,0,0,1,0.119997114,0.10221587,0
53,34.41887671,0,0,0,0.23415339,0.104676254,0
1604,34.33846278,0,2,2,0.2855005,0.316,0
64,34.14533662,1,1,3,0.09351514,0.09659086,111
676,34.14495428,1,2,2,0.11057663,0.10815793,236
574,34.11641611,0,0,1,0.075294,0.06749674,0
82,33.99438483,0,3,3,0.36043653,0.4139151,0
1287,33.86360956,0,5,4,0.39231625,0.42615733,0
614,33.7502134,0,1,0,0.60152835,0.5051593,15
1079,33.69306304,1,0,0,0.17545098,0.18903255,2
1591,33.6659612,0,3,3,0.25462922,0.17847598,0
442,33.65864815,0,0,0,0.21241048,0.23770751,0
294,33.65840823,0,1,1,0.17805049,0.17070955,0
397,33.65820591,0,0,0,0.1537979,0.11976352,0
397,33.62722354,0,0,0,0.15435068,0.120924085,0
486,33.61773979,1,0,0,0.200795,0.18903255,108
1577,33.58289522,0,1,1,0.36095104,0.104676254,0
1415,33.53384425,0,2,1,0.09785384,0.02721288,2
1415,33.53191404,0,2,1,0.08874765,0.02238941,0
767,33.49629509,0,2,1,0.1373533,0.2127345,0
464,33.47950163,0,2,0,0.6020386,0.5135796,0
531,33.45416351,0,5,2,0.37751234,0.4453683,0
851,33.42497925,0,3,2,0.47119883,0.5135796,15
574,33.13447564,0,0,1,0.07845957,0.07508347,0
574,33.12561737,0,0,1,0.075294,0.06658725,0
316,33.11250013,0,1,1,0.5716857,0.6220118,1
727,33.04528895,1,7,7,0.8629672,0.60238177,6
838,33.0194078,0,0,0,0.15435068,0.120924085,0
1260,32.99261465,1,7,7,0.37751234,0.44690517,25
615,32.98815973,1,1,0,0.121732734,0.07012023,2
1392,32.96193477,0,1,0,0.11067997,0.053399716,0
1099,32.94700755,0,1,0,0.20149297,0.07094744,0
1363,32.90650868,0,0,0,0.45757914,0.38176915,0
1289,32.88226318,0,2,2,0.25462922,0.27682206,0
403,32.84916984,0,4,0,0.21241048,0.27510223,0
136,32.77824785,0,3,2,0.50789946,0.4482637,0
1123,32.73627362,0,2,0,0.11440011,0.13591312,0
979,32.72949935,0,1,2,0.4977744,0.5124616,0
891,32.72202505,0,0,1,0.075294,0.06658725,0
705,32.64908277,0,2,1,0.6342749,0.5498214,0
663,32.6090339,0,3,3,0.44933176,0.49032792,0
516,32.59119322,0,2,3,0.6020386,0.316,0
277,32.58475262,0,2,3,0.3389984,0.293411,0
264,32.54168441,0,0,1,0.15048122,0.15303208,0
156,32.51570105,0,2,2,0.37751234,0.40255263,4
1399,32.5130324,0,1,0,0.048594624,0.01565665,0
854,32.49895491,0,1,2,0.23343207,0.2846865,0
854,32.49840051,0,0,0,0.19124292,0.2127345,0
1312,32.4846519,0,5,5,0.36095104,0.2877625,0
848,32.37473588,0,2,1,0.36095104,0.46028158,0
859,31.97196384,1,1,0,0.20839658,0.011173353,0
583,31.95223274,0,3,2,0.055274166,0.005142702,0
181,31.89242038,1,0,2,0.11129999,0.10221587,0
522,31.85486778,1,0,1,0.15766735,0.18158256,8
842,31.82296487,1,1,0,0.5140397,0.44690517,8
1191,31.81887484,0,0,0,0.28425202,0.10221587,0
1544,31.75290652,0,6,6,0.43720075,0.43256098,1
134,31.66857615,0,1,1,0.22846605,0.28034934,0
134,31.66749521,0,0,0,0.28087774,0.32184324,0
150,31.61923458,0,1,2,0.1373533,0.09576365,0
411,31.56893225,1,2,1,0.13388206,0.104676254,18
1095,31.48585162,0,0,1,0.16765249,0.17303948,4
1656,31.46471413,0,0,1,0.08716487,0.09410924,0
991,31.35401385,0,1,2,0.3389984,0.37082586,0
991,31.34004775,0,2,1,0.13561769,0.10815793,0
991,31.33986969,0,2,1,0.49139655,0.18468912,0
1680,31.20763432,0,4,1,0.11429678,0.025605056,3
1450,31.16478303,0,5,4,0.41168427,0.10221587,10
235,31.12366807,0,1,1,0.32764325,0.32184324,0
745,31.09866622,0,1,1,0.33587718,0.2949366,0
134,31.09015806,0,0,0,0.22311419,0.21866,0
251,31.08174091,0,0,0,0.20009702,0.16159154,0
1169,31.06816063,0,2,0,0.11336674,0.060220852,0
1124,31.05868758,0,4,3,0.46716887,0.5203519,0
1562,30.98291402,0,0,0,0.16245349,0.16801116,0
1092,30.96716082,0,1,2,0.5716857,0.3908055,0
1137,30.85796404,0,1,1,0.6544696,0.49584505,0
595,30.83404862,0,0,0,0.6289369,0.35624164,0
39,30.82981853,1,0,0,0.3722269,0.45610145,1
871,30.79715875,1,0,0,0.147767,0.10815793,0
705,30.78910547,0,4,3,0.6027529,0.4006267,0
995,30.78201022,0,0,1,0.08637348,0.06749674,0
856,30.63795277,0,0,0,0.028031485,0.004125261,1
72,30.5813234,0,2,0,0.15269235,0.10221587,0
1387,30.58102819,1,1,1,0.20102765,0.10221587,4
1497,30.56915292,0,0,1,0.4269174,0.49032792,0
739,30.56486159,0,2,0,0.16331999,0.13377325,0
975,30.5527766,0,4,0,0.25462922,0.2795294,0
975,30.55238351,0,4,0,0.25462922,0.28034934,0
1203,30.54401863,0,1,1,0.37751234,0.3817989,0
991,30.52921139,0,1,1,0.48021027,0.28034934,0
834,30.49115226,0,2,2,0.68408644,0.5135796,0
1146,30.44648593,0,5,4,0.6027529,0.50515604,0
904,30.42875736,0,1,1,0.09525062,0.09824528,0
1316,30.37390536,0,2,3,0.6588125,0.5689151,1
1134,30.31996001,0,3,3,0.4269174,0.44690517,0
1524,30.13444656,0,4,4,0.3389984,0.04306607,3
396,30.06975361,0,0,0,0.11739369,0.10221587,0
940,30.05258458,0,4,4,0.3389984,0.04306607,0
1591,30.05031049,0,4,3,0.3974717,0.40883094,0
476,30.02763722,0,5,1,0.18554166,0.17769934,0
866,29.96216017,0,1,0,0.29953843,0.31307843,79
587,29.96084039,0,7,4,0.112746716,0.031206898,0
229,29.91860188,1,1,2,0.568186,0.41975367,2
1555,29.85556417,0,0,0,0.25915736,0.28034934,0
1016,29.84717373,1,0,0,0.19409354,0.23391083,7
1333,29.7828217,0,3,3,0.20172562,0.024600167,0
1010,29.7088041,0,2,2,0.1996317,0.014551271,12
722,29.69614118,0,0,0,0.9248995,0.55044734,0
853,29.63822975,0,2,2,0.069754265,0.057037655,0
524,29.55322759,0,1,1,0.4838166,0.40255263,0
244,29.50511563,0,2,2,0.47323486,0.38246045,1
650,29.48153399,0,3,4,0.6544696,0.27991617,0
1536,29.26228218,0,7,4,0.25462922,0.28883415,0
994,29.24897398,0,5,3,0.45090583,0.49855098,0
325,29.1110751,0,0,0,0.054037213,0.04796442,1
1591,29.01683708,0,3,3,0.32764325,0.2764353,0
1260,28.99346594,1,2,4,0.43475235,0.48915586,26
868,28.97760485,0,0,2,0.28674445,0.27510223,0
695,28.95854193,1,6,2,0.32020867,0.36702603,1242
926,28.95360875,0,0,0,0.17371799,0.15303208,0
980,28.95211669,1,0,0,0.18174082,0.23618884,1
1199,28.93986802,0,2,1,0.22445217,0.27875587,2
557,28.89805655,0,1,0,0.4269174,0.34324843,0
107,28.89201134,0,0,0,0.16245349,0.13591312,0
107,28.88585499,0,2,1,0.37073207,0.44690517,0
1153,28.87102999,0,0,0,0.113263406,0.10221587,0
1296,28.86035281,0,0,1,0.3048984,0.2795294,4
60,28.72291588,1,1,2,0.15656179,0.055218685,4
1506,28.68952009,0,6,2,0.31547862,0.27875587,0
536,28.6717461,0,1,1,0.4274071,0.53446084,0
37,28.66817968,0,1,0,0.3140926,0.3780483,0
453,28.65913059,0,0,0,0.37751234,0.5051609,0
868,28.63123634,0,5,5,0.32919475,0.37292135,0
1195,28.63086144,0,1,1,0.29953843,0.17303948,0
39,28.602497,1,0,0,0.25462922,0.34000012,1
440,28.59989708,1,2,1,0.27047762,0.27778897,1483
1270,28.58674722,1,0,0,0.1269396,0.109318495,3
724,28.56888058,0,1,1,0.38601747,0.27875587,0
471,28.48510383,0,2,1,0.22579013,0.2783691,0
41,28.46951402,0,0,0,0.2854937,0.23542951,0
1605,28.44773366,1,2,1,0.23271075,0.27875587,907
128,28.44702819,0,1,0,0.50503236,0.26663736,0
809,28.2652861,0,9,8,0.09394901,0.061130337,0
845,28.06428647,0,2,3,0.6289369,0.58743036,0
650,28.03883694,0,3,1,0.6744087,0.042292643,0
145,28.00436551,0,1,1,0.911035,0.84706575,0
1043,27.91881076,0,1,1,0.050573748,0.039972372,0
324,27.90368221,0,0,0,0.24282593,0.19890837,0
1591,27.83821747,0,4,3,0.3389984,0.2783691,0
1180,27.80331497,0,0,1,0.27975297,0.21866,0
1341,27.80206874,0,1,1,0.2786282,0.36702603,0
594,27.79158394,0,0,1,0.31547862,0.34000012,0
114,27.77322987,0,3,1,0.37751234,0.2808415,0
263,27.76900009,0,1,1,0.2786282,0.36702603,0
263,27.76828047,0,1,1,0.2786282,0.36702603,0
177,27.75564507,0,1,1,0.2786282,0.36702603,0
70,27.74356,0,3,3,0.47886392,0.4054415,0
978,27.70387418,0,0,1,0.08716487,0.09410924,0
1390,27.68268758,0,1,1,0.47622904,0.54996765,0
1258,27.6756649,0,1,1,0.026970858,0.013948337,0
