"state_name","year","Week","week_num","Number_of_out_main","lag_outmain_1","Number_of_posts","Number_of_out_state","lag_outstate_1","Number_of_events","lag_events_1","Number_of_original","lag_orig_1","lag_inmain_1","lag_instate_1","lag_blm_1","lag_unemp_1","election"
"alabama",2021,"2021-04-18",15,0,NA,10,0,NA,0,NA,5,NA,NA,NA,NA,NA,0
"alabama",2021,"2021-04-25",16,0,0,8,0,0,0,0,4,5,5,0,3,3.7,0
"alabama",2021,"2021-05-02",17,0,0,6,0,0,0,0,3,4,4,0,2,3.7,0
"alabama",2021,"2021-05-09",18,0,0,4,0,0,0,0,2,3,3,0,1,3.5,0
"alabama",2021,"2021-05-16",19,0,0,6,0,0,0,0,3,2,2,0,2,3.5,0
"alabama",2021,"2021-05-23",20,0,0,0,0,0,0,0,0,3,3,0,0,3.5,0
"alabama",2021,"2021-05-30",21,0,0,0,0,0,0,0,0,0,0,0,2,3.5,0
"alabama",2021,"2021-06-06",22,0,0,0,0,0,0,0,0,0,0,0,2,3.5,0
"alabama",2021,"2021-06-13",23,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
"alabama",2021,"2021-06-20",24,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
"alabama",2021,"2021-06-27",25,0,0,1,0,0,0,0,0,0,0,0,0,3.5,0
"alabama",2021,"2021-07-04",26,0,0,0,0,0,0,0,0,0,1,0,0,3.5,0
"alabama",2021,"2021-07-11",27,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0
"alabama",2021,"2021-07-18",28,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0
"alabama",2021,"2021-07-25",29,0,0,0,0,0,0,0,0,0,0,0,2,3.3,0
"alabama",2021,"2021-08-01",30,0,0,14,0,0,0,0,8,0,0,0,0,3.3,0
"alabama",2021,"2021-08-08",31,0,0,2,0,0,0,0,0,8,0,0,1,3.2,0
"alabama",2021,"2021-08-15",32,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0
"alabama",2021,"2021-08-22",33,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0
"alabama",2021,"2021-08-29",34,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0
"alabama",2021,"2021-09-05",35,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0
"alabama",2021,"2021-09-12",36,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"alabama",2021,"2021-09-19",37,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"alabama",2021,"2021-09-26",38,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"alabama",2021,"2021-10-03",39,1,0,2,2,0,0,0,2,0,0,0,0,3,0
"alabama",2021,"2021-10-10",40,5,1,7,8,2,0,0,7,2,0,0,0,2.9,0
"alabama",2021,"2021-10-17",41,3,5,4,7,8,0,0,4,7,0,0,0,2.9,0
"alabama",2021,"2021-10-24",42,1,3,1,2,7,0,0,1,4,0,0,0,2.9,0
"alabama",2021,"2021-10-31",43,0,1,5,0,2,0,0,1,1,0,0,0,2.9,0
"alabama",2021,"2021-11-07",44,2,0,3,2,0,1,0,2,1,4,0,0,2.9,0
"alabama",2021,"2021-11-14",45,4,2,15,7,2,0,1,10,2,1,0,0,2.7,0
"alabama",2021,"2021-11-21",46,2,4,15,2,7,0,0,6,10,5,0,0,2.7,0
"alabama",2021,"2021-11-28",47,4,2,13,8,2,0,0,9,6,8,0,1,2.7,0
"alabama",2021,"2021-12-05",48,1,4,8,0,8,0,0,4,9,4,0,0,2.7,0
"alabama",2021,"2021-12-12",49,2,1,10,3,0,1,0,5,4,3,0,0,2.7,0
"alabama",2021,"2021-12-19",50,0,2,11,0,3,0,1,6,5,3,1,0,2.7,0
