"year_num","Week","week_num","Total_Events","lag_Total_Events","Total_Posts","lag_Total_Posts","lag_BLM","lag_Unemp","Election"
16,"2021-04-18",16,0,NA,659,NA,NA,NA,0
17,"2021-04-25",17,0,0,416,659,239,5.364,0
18,"2021-05-02",18,2,0,546,416,88,5.364,0
19,"2021-05-09",19,0,2,275,546,39,5.166,0
20,"2021-05-16",20,0,0,259,275,22,5.166,0
21,"2021-05-23",21,0,0,178,259,36,5.166,0
22,"2021-05-30",22,1,0,317,178,130,5.166,0
23,"2021-06-06",23,0,1,174,317,54,5.166,0
24,"2021-06-13",24,0,0,123,174,22,5.046,0
25,"2021-06-20",25,0,0,140,123,27,5.046,0
26,"2021-06-27",26,1,0,188,140,24,5.046,0
27,"2021-07-04",27,3,1,174,188,23,5.046,0
28,"2021-07-11",28,0,3,174,174,19,4.79,0
29,"2021-07-18",29,0,0,91,174,12,4.79,0
30,"2021-07-25",30,0,0,69,91,7,4.79,0
31,"2021-08-01",31,0,0,110,69,11,4.79,0
32,"2021-08-08",32,1,0,79,110,6,4.56,0
33,"2021-08-15",33,6,1,162,79,5,4.56,0
34,"2021-08-22",34,1,6,129,162,4,4.56,0
35,"2021-08-29",35,0,1,88,129,4,4.56,0
36,"2021-09-05",36,0,0,69,88,6,4.56,0
37,"2021-09-12",37,1,0,83,69,5,4.268,0
38,"2021-09-19",38,0,1,39,83,10,4.268,0
39,"2021-09-26",39,0,0,51,39,8,4.268,0
40,"2021-10-03",40,0,0,148,51,8,4.268,0
41,"2021-10-10",41,3,0,150,148,8,4.038,0
42,"2021-10-17",42,2,3,133,150,5,4.038,0
43,"2021-10-24",43,0,2,146,133,10,4.038,0
44,"2021-10-31",44,0,0,460,146,1,4.038,0
45,"2021-11-07",45,7,0,389,460,8,4.038,0
46,"2021-11-14",46,0,7,702,389,9,3.838,0
47,"2021-11-21",47,0,0,1010,702,20,3.838,0
48,"2021-11-28",48,2,0,474,1010,14,3.838,0
49,"2021-12-05",49,2,2,443,474,6,3.838,0
50,"2021-12-12",50,11,2,374,443,4,3.678,0
51,"2021-12-19",51,1,11,371,374,4,3.678,0
52,"2021-12-26",52,1,1,311,371,3,3.678,0
1,"2022-01-02",1,1,1,502,311,1,3.678,0
2,"2022-01-09",2,9,1,272,502,4,3.578,0
3,"2022-01-16",3,2,9,313,272,8,3.578,0
4,"2022-01-23",4,1,2,442,313,11,3.578,0
5,"2022-01-30",5,0,1,475,442,2,3.578,0
6,"2022-02-06",6,8,0,496,475,11,3.578,0
7,"2022-02-13",7,3,8,376,496,16,3.458,0
8,"2022-02-20",8,0,3,552,376,14,3.458,0
9,"2022-02-27",9,1,0,384,552,14,3.458,0
10,"2022-03-06",10,11,1,244,384,14,3.458,0
11,"2022-03-13",11,2,11,380,244,10,3.37,0
12,"2022-03-20",12,1,2,366,380,9,3.37,0
13,"2022-03-27",13,0,1,354,366,6,3.37,0
14,"2022-04-03",14,1,0,297,354,9,3.37,0
15,"2022-04-10",15,4,1,197,297,8,3.334,0
16,"2022-04-17",16,5,4,278,197,13,3.334,0
17,"2022-04-24",17,1,5,275,278,13,3.334,0
18,"2022-05-01",18,1,1,250,275,9,3.334,0
19,"2022-05-08",19,8,1,267,250,5,3.304,0
20,"2022-05-15",20,2,8,386,267,4,3.304,0
21,"2022-05-22",21,1,2,243,386,5,3.304,0
22,"2022-05-29",22,0,1,195,243,11,3.304,0
23,"2022-06-05",23,1,0,204,195,4,3.304,1
24,"2022-06-12",24,6,1,253,204,9,3.28,1
25,"2022-06-19",25,3,6,252,253,5,3.28,1
26,"2022-06-26",26,2,3,214,252,2,3.28,1
27,"2022-07-03",27,1,2,174,214,9,3.28,1
28,"2022-07-10",28,7,1,218,174,26,3.278,1
29,"2022-07-17",29,3,7,176,218,10,3.278,1
30,"2022-07-24",30,0,3,128,176,4,3.278,1
31,"2022-07-31",31,2,0,103,128,7,3.278,1
32,"2022-08-07",32,5,2,77,103,5,3.278,1
33,"2022-08-14",33,4,5,88,77,3,3.28,1
34,"2022-08-21",34,4,4,149,88,4,3.28,1
35,"2022-08-28",35,1,4,71,149,3,3.28,1
36,"2022-09-04",36,1,1,115,71,8,3.28,1
37,"2022-09-11",37,2,1,108,115,5,3.322,1
38,"2022-09-18",38,4,2,160,108,3,3.322,1
39,"2022-09-25",39,1,4,127,160,2,3.322,1
40,"2022-10-02",40,10,1,157,127,1,3.322,1
41,"2022-10-09",41,5,10,148,157,2,3.35,1
42,"2022-10-16",42,4,5,192,148,15,3.35,1
43,"2022-10-23",43,3,4,167,192,10,3.35,1
44,"2022-10-30",44,0,3,97,167,9,3.35,1
45,"2022-11-06",45,1,0,151,97,3,3.35,1
46,"2022-11-13",46,7,1,136,151,5,3.336,0
47,"2022-11-20",47,1,7,195,136,5,3.336,0
48,"2022-11-27",48,1,1,131,195,3,3.336,0
49,"2022-12-04",49,1,1,102,131,4,3.336,0
50,"2022-12-11",50,4,1,97,102,3,3.296,0
51,"2022-12-18",51,2,4,174,97,2,3.296,0
52,"2022-12-25",52,2,2,151,174,0,3.296,0
1,"2023-01-01",1,1,2,128,151,1,3.296,0
2,"2023-01-08",2,3,1,128,128,2,3.252,0
3,"2023-01-15",3,3,3,162,128,7,3.252,0
4,"2023-01-22",4,3,3,141,162,15,3.252,0
5,"2023-01-29",5,1,3,129,141,63,3.252,0
6,"2023-02-05",6,8,1,124,129,76,3.252,0
7,"2023-02-12",7,6,8,150,124,24,3.21,0
8,"2023-02-19",8,2,6,104,150,12,3.21,0
9,"2023-02-26",9,3,2,135,104,5,3.21,0
10,"2023-03-05",10,9,3,126,135,4,3.21,0
11,"2023-03-12",11,2,9,215,126,9,3.176,0
12,"2023-03-19",12,1,2,153,215,6,3.176,0
13,"2023-03-26",13,1,1,229,153,2,3.176,0
14,"2023-04-02",14,1,1,101,229,2,3.176,0
15,"2023-04-09",15,7,1,85,101,0,3.142,0
16,"2023-04-16",16,2,7,130,85,6,3.142,0
17,"2023-04-23",17,3,2,68,130,9,3.142,0
18,"2023-04-30",18,1,3,76,68,5,3.142,0
